mfg_part_num,raw_part_desc,canonical_brand,brand_code,canonical_manufacturer,manufacturer_code,brand_resolution_status,brand_resolution_source,classpath,product_title,invoice_description,mobile_description,long_description,attributes,brand_info,mpn_confidence,lov_stats,traceability,validation,overall_confidence,needs_human_review,review_required,primary_review_reason,review_reasons
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Diablo®,DIAB,Freud America Inc,2435,ALIAS_RESOLVED,canonical_brands.json,Abrasive Sanding Media,Diablo® DCB518ASTS06G Abrasive Sanding Media 6 pc,ABRASIVE SANDING MEDIA 6PC,"Diablo, Abrasive Sanding Media, DCB518ASTS06G, 6 pc, Industrial Grade","Diablo®, Abrasive Sanding Media, Model DCB518ASTS06G, 6 pc","{'Item_Type': 'Abrasive Sanding Media', 'Package_Quantity': '6 pc'}","{'canonical_brand': 'Diablo®', 'brand_code': 'DIAB', 'canonical_manufacturer': 'Freud America Inc', 'manufacturer_code': '2435', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': 'DCB518ASTS06G', 'part_desc': 'DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc', 'part_manuf': 'Freud Inc (2435)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': 'DCB518ASTS06G', 'expanded_acronyms_desc': 'Diablo 1/2""x18"" - Sanding Belt 6pc', 'uom_normalized_desc': 'Diablo 1/2 inx18 in - Sanding Belt 6pc'}, 'brand_resolution': {'input_brand': 'Freud Inc (2435)', 'resolved_brand': 'Diablo®', 'brand_code': 'DIAB', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': 'Freud America Inc', 'manufacturer_code': '2435', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Item_Type', 'raw_value': 'Abrasive Sanding Media', 'normalized_value': 'Abrasive Sanding Media', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '6 pc', 'normalized_value': '6 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100075678 775L Stikit Film P150 3 pc,3M 775L STIKIT P150 3PC,"3M, Cubitron II, 3MABR-7100075678, P150, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100075678, P150, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P150', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100075678', 'part_desc': '3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100075678', 'expanded_acronyms_desc': '3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P150', 'normalized_value': 'P150', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100045865 775L Stikit Film P120 3 pc,3M 775L STIKIT P120 3PC,"3M, Cubitron II, 3MABR-7100045865, P120, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100045865, P120, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P120', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100045865', 'part_desc': '3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100045865', 'expanded_acronyms_desc': '3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P120', 'normalized_value': 'P120', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100048736 775L Stikit Film P80 3 pc,3M 775L STIKIT P80 3PC,"3M, Cubitron II, 3MABR-7100048736, P80, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100048736, P80, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P80', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100048736', 'part_desc': '3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100048736', 'expanded_acronyms_desc': '3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P80', 'normalized_value': 'P80', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100075690 775L Stikit Film P180 3 pc,3M 775L STIKIT P180 3PC,"3M, Cubitron II, 3MABR-7100075690, P180, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100075690, P180, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P180', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100075690', 'part_desc': '3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100075690', 'expanded_acronyms_desc': '3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P180', 'normalized_value': 'P180', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100075692 775L Stikit Film P220 3 pc,3M 775L STIKIT P220 3PC,"3M, Cubitron II, 3MABR-7100075692, P220, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100075692, P220, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P220', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100075692', 'part_desc': '3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100075692', 'expanded_acronyms_desc': '3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P220', 'normalized_value': 'P220', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M®,3MCO,3M Co,5293,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,3M® Cubitron II 3MABR-7100145365 775L Stikit Film P320 3 pc,3M 775L STIKIT P320 3PC,"3M, Cubitron II, 3MABR-7100145365, P320, 3 pc, Industrial Grade","3M®, Cubitron II, Model 3MABR-7100145365, P320, 3 pc","{'Series': 'Cubitron II', 'Grit': 'P320', 'Package_Quantity': '3 pc'}","{'canonical_brand': '3M®', 'brand_code': '3MCO', 'canonical_manufacturer': '3M Co', 'manufacturer_code': '5293', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 2, 'validated_count': 2, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '3MABR-7100145365', 'part_desc': '3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box', 'part_manuf': 'Jam Industrial Supply LLC (JAMIN)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '3MABR-7100145365', 'expanded_acronyms_desc': '3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box', 'uom_normalized_desc': '3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box'}, 'brand_resolution': {'input_brand': 'Jam Industrial Supply LLC (JAMIN)', 'resolved_brand': '3M®', 'brand_code': '3MCO', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': '3M Co', 'manufacturer_code': '5293', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Series', 'raw_value': 'Cubitron II', 'normalized_value': 'Cubitron II', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}, {'attribute': 'Grit', 'raw_value': 'P320', 'normalized_value': 'P320', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}, {'attribute': 'Package_Quantity', 'raw_value': '3 pc', 'normalized_value': '3 pc', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': True, 'confidence_score': 99.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': [], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': True}, 'warnings': [], 'passed_checks_count': 6, 'total_checks_count': 6}",99.0,False,False,NONE,[]
5B-332-080,"5B-332-080 HIOLIT 5"" P80",Mirka®,MIRK,Mirka Abrasives Inc,MIRUS,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,Mirka® 5B-332-080 HIOLIT 5 in P80,HIOLIT 5 IN P80,"Mirka, 5B-332-080, P80, Industrial Grade, Commercial Quality","Mirka®, Model 5B-332-080, P80",{'Grit': 'P80'},"{'canonical_brand': 'Mirka®', 'brand_code': 'MIRK', 'canonical_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 1, 'validated_count': 1, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '5B-332-080', 'part_desc': '5B-332-080 HIOLIT 5"" P80', 'part_manuf': 'Mirka Abrasives Inc (MIRUS)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '5B-332-080', 'expanded_acronyms_desc': 'HIOLIT 5"" P80', 'uom_normalized_desc': 'HIOLIT 5 in P80'}, 'brand_resolution': {'input_brand': 'Mirka Abrasives Inc (MIRUS)', 'resolved_brand': 'Mirka®', 'brand_code': 'MIRK', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Grit', 'raw_value': 'P80', 'normalized_value': 'P80', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': False, 'confidence_score': 85.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': ['LIMITED_ATTRIBUTES'], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': False}, 'warnings': ['Limited technical attributes extracted'], 'passed_checks_count': 5, 'total_checks_count': 6}",85.0,False,False,NONE,['LIMITED_ATTRIBUTES']
5B-332-120,"5B-332-120 HIOLIT 5"" P120",Mirka®,MIRK,Mirka Abrasives Inc,MIRUS,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,Mirka® 5B-332-120 HIOLIT 5 in P120,HIOLIT 5 IN P120,"Mirka, 5B-332-120, P120, Industrial Grade, Commercial Quality","Mirka®, Model 5B-332-120, P120",{'Grit': 'P120'},"{'canonical_brand': 'Mirka®', 'brand_code': 'MIRK', 'canonical_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 1, 'validated_count': 1, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '5B-332-120', 'part_desc': '5B-332-120 HIOLIT 5"" P120', 'part_manuf': 'Mirka Abrasives Inc (MIRUS)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '5B-332-120', 'expanded_acronyms_desc': 'HIOLIT 5"" P120', 'uom_normalized_desc': 'HIOLIT 5 in P120'}, 'brand_resolution': {'input_brand': 'Mirka Abrasives Inc (MIRUS)', 'resolved_brand': 'Mirka®', 'brand_code': 'MIRK', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Grit', 'raw_value': 'P120', 'normalized_value': 'P120', 'lov_status': 'LOV_VALIDATED', 'source': 'lov_master_taxonomy.json'}]}","{'is_valid': False, 'confidence_score': 85.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': ['LIMITED_ATTRIBUTES'], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': False}, 'warnings': ['Limited technical attributes extracted'], 'passed_checks_count': 5, 'total_checks_count': 6}",85.0,False,False,NONE,['LIMITED_ATTRIBUTES']
9A-570-240,9A-570-240 Abranet 2.75x30,Mirka®,MIRK,Mirka Abrasives Inc,MIRUS,ALIAS_RESOLVED,canonical_brands.json,Industrial Equipment,Mirka® 9A-570-240 Abranet 2.75x30 2-3/4 in x 30 in,ABRANET 2.75X30 2-3/4INX30IN,"Mirka, 9A-570-240, 2-3/4 in x 30 in, Industrial Grade, Commercial Quality","Mirka®, Model 9A-570-240, 2-3/4 in x 30 in",{'Dimensions': '2-3/4 in x 30 in'},"{'canonical_brand': 'Mirka®', 'brand_code': 'MIRK', 'canonical_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'confidence': 0.99, 'resolution_status': 'ALIAS_RESOLVED', 'resolution_source': 'canonical_brands.json', 'needs_review': False}",0.98,"{'total_lov_attributes': 0, 'validated_count': 0, 'normalized_count': 0, 'unmapped_count': 0, 'lov_compliance_rate': 100.0}","{'raw_input': {'mfg_part_num': '9A-570-240', 'part_desc': '9A-570-240 Abranet 2.75x30', 'part_manuf': 'Mirka Abrasives Inc (MIRUS)', 'active_brand_input': None}, 'transformations': {'extracted_mpn': '9A-570-240', 'expanded_acronyms_desc': 'Abranet 2.75x30', 'uom_normalized_desc': 'Abranet 2.75x30'}, 'brand_resolution': {'input_brand': 'Mirka Abrasives Inc (MIRUS)', 'resolved_brand': 'Mirka®', 'brand_code': 'MIRK', 'status': 'ALIAS_RESOLVED', 'source': 'canonical_brands.json', 'confidence': 0.99}, 'manufacturer_source': {'resolved_manufacturer': 'Mirka Abrasives Inc', 'manufacturer_code': 'MIRUS', 'source': 'canonical_brands.json / manufacturer_master_catalog'}, 'attributes_lov_lineage': [{'attribute': 'Dimensions', 'raw_value': '2-3/4 in x 30 in', 'normalized_value': '2-3/4 in x 30 in', 'lov_status': 'FREE_FORM', 'source': 'extracted_attribute'}]}","{'is_valid': False, 'confidence_score': 85.0, 'needs_human_review': False, 'review_required': False, 'primary_review_reason': 'NONE', 'review_reasons': ['LIMITED_ATTRIBUTES'], 'rule_checks': {'invoice_char_limit': True, 'invoice_casing_caps': True, 'mobile_length_compliance': True, 'uom_spacing_compliance': True, 'brand_resolution': True, 'attribute_richness': False}, 'warnings': ['Limited technical attributes extracted'], 'passed_checks_count': 5, 'total_checks_count': 6}",85.0,False,False,NONE,['LIMITED_ATTRIBUTES']
